Continent,Country,State,Critical care Beds
North America,USA,Alabama,1533
North America,USA,Alaska,119
North America,USA,Arizona,1559
North America,USA,Arkansas,732
North America,USA,California,7338
North America,USA,Colorado,1095
North America,USA,Connecticut,674
North America,USA,Delaware,186
North America,USA,District of Columbia,314
North America,USA,Florida,5604
North America,USA,Georgia,2508
North America,USA,Hawaii,201
North America,USA,Idaho,314
North America,USA,Illinois,3144
North America,USA,Indiana,1861
North America,USA,Iowa,545
North America,USA,Kansas,767
North America,USA,Kentucky,1392
North America,USA,Louisiana,1289
North America,USA,Maine,256
North America,USA,Maryland,1134
North America,USA,Massachusetts,1326
North America,USA,Michigan,2423
North America,USA,Minnesota,1171
North America,USA,Mississippi,824
North America,USA,Missouri,1888
North America,USA,Montana,165
North America,USA,Nebraska,440
North America,USA,Nevada,900
North America,USA,New Hampshire,242
North America,USA,New Jersey,1822
North America,USA,New Mexico,340
North America,USA,New York,3952
North America,USA,North Carolina,2227
North America,USA,North Dakota,238
North America,USA,Ohio,3314
North America,USA,Oklahoma,1064
North America,USA,Oregon,663
North America,USA,Pennsylvania,3169
North America,USA,Rhode Island,279
North America,USA,South Carolina,1225
North America,USA,South Dakota,152
North America,USA,Tennessee,2209
North America,USA,Texas,6199
North America,USA,Utah,565
North America,USA,Vermont,94
North America,USA,Virginia,1654
North America,USA,Washington,1265
North America,USA,West Virginia,653
North America,USA,Wisconsin,1159
North America,USA,Wyoming,102
North America,USA,USA,74289
Asia,Bangladesh,Bangladesh,1174
Asia,India,India,29997
Asia,Indonesia,Indonesia,7094
Asia,Laos,Laos,152
Asia,Mongolia,Mongolia,271
Asia,Myanmar,Myanmar,586
Asia,Nepal,Nepal,815
Asia,Pakistan,Pakistan,3142
Asia,Philippines,Philippines,2335
Asia,Sri Lanka,Sri Lanka,519
Asia,China,China,49453
Asia,Iran,Iran,3790
Asia,Kazakhstan,Kazakhstan,3948
Asia,Malaysia,Malaysia,1060
Asia,Thailand,Thailand,7100
Asia,Brunei,Brunei,58
Asia,Hong Kong,Hong Kong,511
Asia,Japan,Japan,9241
Asia,Oman,Oman,499
Asia,Saudi Arabia,Saudi Arabia,6515
Asia,Singapore,Singapore,671
Asia,South Korea,South Korea,5402
Asia,Taiwan,Taiwan,6701
Europe,Andorra,Andorra,6
Europe,Austria,Austria,"1,833"
Europe,Belgium,Belgium,"1,755"
Europe,Bulgaria,Bulgaria,913
Europe,Croatia,Croatia,650
Europe,Cyprus,Cyprus,92
Europe,Czech Republic,Czech Republic,"1,227"
Europe,Denmark,Denmark,372
Europe,Estonia,Estonia,196
Europe,Finland,Finland,329
Europe,France,France,"7,540"
Europe,Germany,Germany,"23,890"
Europe,Greece,Greece,680
Europe,Hungary,Hungary,"1,374"
Europe,Iceland,Iceland,29
Europe,Ireland,Ireland,289
Europe,Italy,Italy,"7,550"
Europe,Latvia,Latvia,217
Europe,Lithuania,Lithuania,502
Europe,Luxembourg,Luxembourg,127
Europe,The Netherlands,The Netherlands,"1,065"
Europe,Norway,Norway,395
Europe,Poland,Poland,"2,635"
Europe,Portugal,Portugal,451
Europe,Romania,Romania,"4,574"
Europe,Slovakia,Slovakia,500
Europe,Slovenia,Slovenia,131
Europe,Spain,Spain,"4,479"
Europe,Sweden,Sweden,550
Europe,Switzerland,Switzerland,866
Europe,UK,UK,"4,114"
World,World,World,284654
